,Ad_ID,Number_of_rooms,Metro,Address,Area_m2,Price,Repair,Windows,Children/pets_allowed,Floor flat,Design,Number of storeys in the house,Bathroom_separated,Bathroom_combined,Balcon,Loggia,pass_elevator,fr_elevator
12927,274491595,2,м. Первомайская ,"Москва, Измайловский проспект, 115А",44.0,40000.0,1,0,2,5,2,9,1,0,1,0,1,0
12928,274429749,2,м. Первомайская ,"Москва, 15-я Парковая улица, 18к2",52.0,42000.0,1,0,2,3,4,17,1,0,1,0,1,0
12929,274773716,2,м. Первомайская ,"Москва, Нижняя Первомайская улица, 53",51.0,45000.0,1,0,2,3,2,17,1,0,0,1,1,0
12930,273825705,2,м. Первомайская ,"Москва, Нижняя Первомайская улица, 59",54.0,45000.0,2,0,0,9,2,17,1,0,1,0,1,1
12931,273136166,3,м. Первомайская ,"Москва, Измайловский бульвар, 67К1",67.0,47000.0,1,2,2,9,3,9,1,0,1,0,1,0
12932,266564949,2,м. Первомайская ,"Москва, 15-я Парковая улица, 27/1",52.0,48000.0,1,0,2,11,3,15,1,0,0,1,1,1
12933,264386502,2,м. Первомайская ,"Москва, 15-я Парковая улица, 24К1",49.0,50000.0,3,0,2,7,2,9,1,0,1,0,1,0
12934,159018735,2,м. Первомайская ,"Москва, 15-я Парковая улица, 24К2",45.0,50000.0,1,0,0,6,2,9,1,0,1,0,1,0
12935,274101772,2,м. Первомайская ,"Москва, Измайловский проспект, 119",68.0,54000.0,3,0,2,1,3,5,0,1,1,0,1,0
12936,274528967,2,м. Первомайская ,"Москва, Сиреневый бульвар, 62К1",70.0,60000.0,2,0,2,6,5,14,0,1,0,1,1,1
12937,274440332,2,м. Первомайская ,"Москва, Сиреневый бульвар, 44к1",55.0,60000.0,3,0,2,6,4,18,1,0,0,1,1,0
12938,273940199,3,м. Первомайская ,"Москва, Средняя Первомайская улица, 48к1",98.4,70000.0,1,0,2,4,2,5,0,1,1,0,1,0
12939,274891317,2,м. Первомайская ,"Москва, Измайловский бульвар, 75",42.0,40000.0,1,2,3,3,0,12,1,0,1,0,1,0
12940,273283371,3,м. Первомайская ,"Москва, 15-я Парковая улица, 24К1",59.0,53000.0,1,1,2,2,2,9,0,1,1,0,1,0
12941,273571485,1,м. Первомайская ,"Москва, 9-я Парковая улица, 6",36.0,30000.0,1,0,1,6,3,12,1,0,1,0,1,0
12942,273158753,0,м. Первомайская ,"Москва, Нижняя Первомайская улица, 66",16.0,30000.0,1,0,0,5,3,6,0,1,1,0,1,0
12943,273776991,3,м. Первомайская ,"Москва, Сиреневый бульвар, 56",56.0,43000.0,1,0,2,3,2,9,1,0,1,0,1,0
12944,273897133,3,м. Первомайская ,"Москва, Сиреневый бульвар, 62",58.2,49500.0,1,2,2,7,3,9,1,0,1,0,1,0
12945,258764138,2,м. Первомайская ,"Москва, 15-я Парковая улица, 24К1",48.0,50000.0,2,0,2,3,2,9,0,1,1,1,1,0
12946,273726942,2,м. Первомайская ,"Москва, Первомайская улица, 76",86.0,62000.0,2,0,2,4,3,4,1,0,1,0,1,0
12947,266861552,0,м. Первомайская ,"Москва, Нижняя Первомайская улица, 68/7",16.0,32000.0,2,1,0,1,3,5,0,1,1,0,1,0
12948,274762109,3,м. Первомайская ,"Москва, Первомайская улица, 112",95.2,75000.0,3,2,2,11,4,15,1,0,1,1,1,1
12949,233297417,1,м. Первомайская ,"Москва, Нижняя Первомайская улица, 68/7",16.0,30000.0,1,0,2,4,3,5,0,1,1,0,1,0
12950,273298065,1,м. Первомайская ,"Москва, Измайловский бульвар, 67К2",32.0,33000.0,1,0,0,3,2,5,0,1,1,0,1,0
